Neighborhood,Population
Beechfield,4013
Belair-Parkside,449
Curtis Bay Industrial Area,20
Eastwood,764
Forest Park Golf Course,358
Harwood,1639
Hawkins Point,24
Highlandtown,2915
Hoes Heights,930
Bayview,2944
Keswick,713
Lucille Park,431
Millhill,1404
Moravia-Walther,978
Morgan Park,245
Mount Holly,1304
Mt Pleasant Park,0
O'Donnell Heights,972
Oaklee,669
Orangeville Industrial Area,33
Otterbein,2677
Parkside,2406
Auchentoroly-Parkwood,1597
Penn-Fallsway,2594
Pimlico Good Neighbors,858
Pleasant View Gardens,671
Purnell,596
Rosemont,2411
Rosemont East,1959
Rosemont Homeowners/Tenants,1273
Sabina-Mattfeldt,187
Saint Agnes,574
Saint Helena,617
Saint Josephs,1594
Stonewood-Pentwood-Winston,765
Taylor Heights,359
University Of Maryland,602
Upton,4817
Wakefield,1710
West Hills,1988
Wilson Park,1054
Woodbourne Heights,1621
Wyndhurst,680
Edgewood,1995
Evesham Park,710
Belvedere,706
York-Homeland,1088
CARE,1422
Concerned Citizens of Forest Park,1141
Carroll - Camden Industrial Area,27
Harbor Point,354
Key Highway,1196
Harbor East,1037
Fallstaff,4896
South Baltimore,3939
Abell,975
Allendale,3354
Arcadia,1077
Arlington,2163
Armistead Gardens,3779
Ashburton,2243
Baltimore Highlands,3143
Patterson Park Neighborhood,5438
Barclay,2692
Barre Circle,300
Bellona-Gittings,653
Berea,3469
Better Waverly,2622
Beverly Hills,637
Biddle Street,935
Blythewood,229
Bolton Hill,5034
Boyd-Booth,516
Bridgeview/Greenlawn,1679
Broadway East,3376
Broening Manor,1971
Brooklyn,9549
Parkway,638
Butchers Hill,2122
Callaway-Garrison,1582
Cameron Village,1310
Canton,12731
Carroll Park,0
Carroll-South Hilton,1241
Carrollton Ridge,2355
Cedarcroft,626
Cedmont,2524
Cedonia,3168
Central Forest Park,1097
Central Park Heights,4339
Charles North,1085
Cherry Hill,7647
Cheswolde,7613
Chinquapin Park,1247
Orchard Ridge,1038
Clifton Park,16
Coldspring,1108
Coldstream Homestead Montebello,5638
Coppin Heights/Ash-Co-East,1845
Cross Country,5305
Cross Keys,883
Curtis Bay,3759
Cylburn,2212
Darley Park,913
Dickeyville,173
Dolfield,1799
Dorchester,1565
Downtown,7171
Druid Heights,1267
Druid Hill Park,27
Dunbar-Broadway,749
Dundalk Marine Terminal,7
East Arlington,2187
East Baltimore Midway,2318
Easterwood,1178
Edmondson Village,3642
Ednor Gardens-Lakeside,4865
Ellwood Park/Monument,3137
Evergreen,355
Evergreen Lawn,988
Fairfield Area,127
Fairmount,322
Federal Hill,2695
Forest Park,1255
Frankford,17135
Franklin Square,2379
Franklintown,1193
Franklintown Road,1338
Garwyn Oaks,1349
Gay Street,1728
Glen,7766
Glen Oaks,2678
Hamilton,5981
Graceland Park,2156
Greektown,4757
Greenmount Cemetery,0
Greenmount West,1683
Greenspring,2718
Grove Park,1776
Guilford,1990
Gwynns Falls,952
Hampden,7346
Hanlon-Longwood,2240
Hamilton Hills,9649
Harlem Park,2582
Heritage Crossing,918
Herring Run Park,0
Hillen,2114
Holabird Industrial Park,27
Hollins Market,1716
Homeland,3186
Hopkins Bayview,112
Howard Park,5057
Hunting Ridge,1326
Idlewood,2495
Irvington,3431
Johns Hopkins Homewood,742
Johnston Square,1993
Jonestown,1306
Kenilworth Park,1166
Kernewood,454
Kresson,476
Lake Evesham,540
Lake Walker,1944
Lakeland,4848
Langston Hughes,741
Lauraville,3759
Levindale,1077
Liberty Square,813
Little Italy,674
Loch Raven,5611
Lower Herring Run Park,0
Loyola/Notre Dame,2967
Madison Park,1925
Madison-Eastend,1824
Mayfield,858
McElderry Park,3690
Medfield,2791
Medford,1284
Mid-Govans,1302
Mid-Town Belvedere,4666
Middle Branch/Reedbird Parks,20
Middle East,1872
Midtown-Edmondson,1096
Milton-Montford,1088
Mondawmin,2900
Montebello,48
Morgan State University,1589
Morrell Park,3970
Mosher,1103
Mount Clare,1774
Mount Vernon,5497
Mount Washington,4090
Mount Winans,725
New Northwood,4517
North Harford Road,5069
North Roland Park/Poplar Hill,1367
Northwest Community Action,1378
Oakenshawe,971
Oldtown,2370
Oliver,3771
Orangeville,200
Original Northwood,1155
Overlea,797
Panway/Braddish Avenue,1280
Park Circle,2428
Parklane,1796
Patterson Park,19
Patterson Place,1171
Pen Lucy,2741
Penn North,1613
Penrose/Fayette Street Outreach,2514
Perkins,858
Perring Loch,2752
Poppleton,2910
Pulaski Industrial Area,171
Radnor-Winston,552
Ramblewood,1670
Remington,2678
Reservoir Hill,5263
Richnor Springs,652
Ridgely's Delight,817
Rognel Heights,1535
Roland Park,4329
Rosebank,403
Saint Paul,122
Sandtown-Winchester,6162
Seton Business Park,172
Seton Hill,1129
Sharp-Leadenhall,1260
Shipley Hill,1404
South Clifton Park,567
Ten Hills,1280
The Orchards,566
Towanda-Grantley,988
Tremont,1132
Tuscany-Canterbury,4304
Union Square,1011
Uplands,1339
Upper Fells Point,3959
Villages of Homeland,487
Violetville,2403
Walbrook,2244
Waltherson,6181
Washington Hill,2364
Washington Village/Pigtown,4823
Waverly,2383
West Arlington,1773
West Forest Park,2156
Westfield,3111
Westgate,2647
Westport,1287
Winchester,1144
Windsor Hills,1498
Winston-Govans,1268
Woodberry,1253
Woodbourne-McCabe,813
Woodmere,1836
Wyman Park,1120
Yale Heights,2527
Wilhelm Park,634
Downtown West,356
Belair-Edison,14680
Four By Four,1156
Charles Village,8749
Old Goucher,672
Canton Industrial Area,108
Brewers Hill,2356
Stadium/Entertainment Area,110
Fells Point,4703
Inner Harbor,347
Reisterstown Station,1169
Baltimore Peninsula,28
Riverside,6566
Spring Garden Industrial Area,0
Locust Point,3709
Locust Point Industrial Area,96
Jones Falls Area,179
Gwynns Falls/Leakin Park,0
