SR Type,Neighborhood,2017,2018,2019,2020,2021,2022,2023
SW-Dirty Alley,(blank),12,487,8,,11,,7
SW-Dirty Alley,Abell,60,59,47,27,26,19,46
SW-Dirty Alley,Allendale,142,145,127,107,160,170,175
SW-Dirty Alley,ANNABEL AVE,,,,,,,1
SW-Dirty Alley,Arcadia,69,30,24,35,27,13,19
SW-Dirty Alley,Arlington,124,147,142,58,99,148,117
SW-Dirty Alley,Armistead Gardens,9,4,2,,3,3,3
SW-Dirty Alley,Ashburton,22,24,9,10,15,13,29
SW-Dirty Alley,Auchentoroly-Parkwood,,,,,,,59
SW-Dirty Alley,BAKER ST,,,,,,,1
SW-Dirty Alley,Baltimore Highlands,705,842,553,415,510,492,507
SW-Dirty Alley,Barclay,323,309,285,150,237,276,274
SW-Dirty Alley,Barre Circle,6,9,6,3,5,6,8
SW-Dirty Alley,Bayview,102,121,85,69,93,94,90
SW-Dirty Alley,Beechfield,45,41,40,29,21,17,15
SW-Dirty Alley,Belair-Edison,816,1010,968,706,804,666,809
SW-Dirty Alley,Belair-Parkside,33,25,15,9,13,10,11
SW-Dirty Alley,Bellona-Gittings,,,1,,,,
SW-Dirty Alley,Belvedere,1,9,7,2,12,1,7
SW-Dirty Alley,Berea,324,368,244,286,278,337,338
SW-Dirty Alley,Better Waverly,159,142,172,99,84,91,73
SW-Dirty Alley,Beverly Hills,1,3,5,3,1,3,5
SW-Dirty Alley,Biddle Street,184,237,171,113,146,146,96
SW-Dirty Alley,BOARMAN AVE,,,,,,,1
SW-Dirty Alley,Bolton Hill,36,37,28,30,39,25,34
SW-Dirty Alley,BOOTH ST,,,,,,,1
SW-Dirty Alley,Boyd-Booth,76,60,52,55,35,34,50
SW-Dirty Alley,Brewers Hill,50,54,49,35,53,50,67
SW-Dirty Alley,Bridgeview/Greenlawn,83,77,91,74,51,67,92
SW-Dirty Alley,BRIGHTON ST,,,,,,,1
SW-Dirty Alley,Broadway East,846,667,546,552,647,582,495
SW-Dirty Alley,Broening Manor,44,30,61,54,79,39,34
SW-Dirty Alley,Brooklyn,626,786,872,538,498,910,750
SW-Dirty Alley,Burleith-Leighton,18,26,33,16,21,18,12
SW-Dirty Alley,Butchers Hill,,,,,,,9
SW-Dirty Alley,Butcher's Hill,31,30,32,12,22,22,11
SW-Dirty Alley,Callaway-Garrison,51,74,58,41,46,24,51
SW-Dirty Alley,Cameron Village,37,53,49,16,25,16,16
SW-Dirty Alley,Canton,284,406,263,259,269,155,137
SW-Dirty Alley,Canton Industrial Area,3,4,4,4,13,4,7
SW-Dirty Alley,CARE,204,164,162,118,147,108,88
SW-Dirty Alley,Carroll - Camden Industrial Area,10,6,7,7,5,3,14
SW-Dirty Alley,Carroll Park,7,,1,,1,2,
SW-Dirty Alley,Carroll-South Hilton,60,74,87,50,49,41,58
SW-Dirty Alley,Carrollton Ridge,803,946,592,431,438,651,742
SW-Dirty Alley,Cedarcroft,,,,,1,1,
SW-Dirty Alley,CEDLEY ST,,,,,,,1
SW-Dirty Alley,Cedmont,39,55,45,36,26,20,23
SW-Dirty Alley,Cedonia,23,20,18,12,13,7,10
SW-Dirty Alley,Central Forest Park,31,31,48,11,35,9,11
SW-Dirty Alley,Central Park Heights,393,348,376,203,305,248,369
SW-Dirty Alley,CHALGROVE AVE,,,,,,,1
SW-Dirty Alley,Charles North,64,67,82,84,133,88,103
SW-Dirty Alley,Charles Village,151,237,172,121,121,104,139
SW-Dirty Alley,Cherry Hill,71,81,40,26,35,29,51
SW-Dirty Alley,Cheswolde,,2,2,,,1,
SW-Dirty Alley,Chinquapin Park,7,13,25,6,14,8,14
SW-Dirty Alley,CHRISTIAN ST,,,,,,,2
SW-Dirty Alley,Citywide,24890,28046,25059,18143,21131,19458,21858
SW-Dirty Alley,Clifton Park,8,18,4,12,15,13,13
SW-Dirty Alley,Coldspring,,1,2,1,3,2,1
SW-Dirty Alley,Coldstream Homestead Montebello,483,601,536,400,510,554,787
SW-Dirty Alley,Concerned Citizens Of Forest Park,60,62,41,39,79,78,86
SW-Dirty Alley,Coppin Heights/Ash-Co-East,186,213,291,107,141,109,143
SW-Dirty Alley,Cross Country,6,13,17,8,7,7,4
SW-Dirty Alley,Cross Keys,1,2,1,,,,
SW-Dirty Alley,Curtis Bay,214,263,298,210,243,366,478
SW-Dirty Alley,Curtis Bay Industrial Area,,,,,3,,
SW-Dirty Alley,Cylburn,22,20,29,30,37,24,27
SW-Dirty Alley,Darley Park,128,158,75,69,97,96,90
SW-Dirty Alley,Dickeyville,,1,,1,1,1,
SW-Dirty Alley,Dolfield,23,37,29,26,17,26,22
SW-Dirty Alley,Dorchester,42,63,76,28,42,54,41
SW-Dirty Alley,Downtown,186,220,231,187,204,183,169
SW-Dirty Alley,Downtown West,4,2,3,,3,1,6
SW-Dirty Alley,Druid Heights,170,141,142,121,137,127,219
SW-Dirty Alley,Druid Hill Park,2,2,,,,5,4
SW-Dirty Alley,DULANY ST,,,,,,,1
SW-Dirty Alley,Dunbar-Broadway,6,5,5,1,8,4,2
SW-Dirty Alley,DUNDALK AVE,,,,,,,1
SW-Dirty Alley,E 22 1/2 ST,,,,,,,1
SW-Dirty Alley,E FAIRMOUNT AVE,,,,,,,2
SW-Dirty Alley,E FAYETTE ST,,,,,,,1
SW-Dirty Alley,E FEDERAL ST,,,,,,,1
SW-Dirty Alley,E PATAPSCO AVE,,,,,,,2
SW-Dirty Alley,East Arlington,35,46,34,18,27,20,23
SW-Dirty Alley,East Baltimore Midway,467,492,335,220,293,339,324
SW-Dirty Alley,Easterwood,161,250,216,98,144,90,159
SW-Dirty Alley,Eastwood,4,3,6,9,12,19,15
SW-Dirty Alley,Edgewood,160,143,160,101,118,112,108
SW-Dirty Alley,Edmondson Village,56,96,95,37,61,58,60
SW-Dirty Alley,Ednor Gardens-Lakeside,75,78,89,67,81,33,32
SW-Dirty Alley,ELIZABETH AVE,,,,,,,1
SW-Dirty Alley,ELLERSLIE AVE,,,,,,,1
SW-Dirty Alley,Ellwood Park/Monument,855,1036,799,668,844,710,357
SW-Dirty Alley,ESTHER PL,,,,,,,1
SW-Dirty Alley,Evergreen,5,2,1,,,2,1
SW-Dirty Alley,Evergreen Lawn,71,58,69,39,41,47,38
SW-Dirty Alley,Evesham Park,3,7,6,2,13,11,5
SW-Dirty Alley,Fairfield Area,13,5,21,7,7,9,6
SW-Dirty Alley,Fairmont,2,1,2,2,,1,
SW-Dirty Alley,Fallstaff,53,61,76,73,109,91,139
SW-Dirty Alley,Federal Hill,28,30,26,20,36,25,34
SW-Dirty Alley,Fells Point,43,46,26,27,21,10,15
SW-Dirty Alley,Forest Park,119,124,92,48,95,80,61
SW-Dirty Alley,Forest Park Golf Course,3,2,3,4,1,,
SW-Dirty Alley,Four By Four,100,122,157,116,106,84,63
SW-Dirty Alley,Frankford,77,115,113,79,63,52,53
SW-Dirty Alley,Franklin Square,224,238,153,139,170,185,163
SW-Dirty Alley,Franklintown,,2,1,2,1,1,1
SW-Dirty Alley,Franklintown Road,84,126,165,71,84,149,180
SW-Dirty Alley,FURROW ST,,,,,,,1
SW-Dirty Alley,Garwyn Oaks,10,17,8,2,6,6,2
SW-Dirty Alley,Gay Street,44,47,47,46,60,80,48
SW-Dirty Alley,Glen,39,58,41,49,50,30,39
SW-Dirty Alley,Glen Oaks,81,63,61,48,70,53,56
SW-Dirty Alley,Glenham-Belhar,73,78,94,57,72,72,23
SW-Dirty Alley,GOUGH ST,,,,,,,1
SW-Dirty Alley,Graceland Park,36,49,60,55,53,54,32
SW-Dirty Alley,Greektown,176,247,168,157,111,93,102
SW-Dirty Alley,Greenmount Cemetery,2,4,1,1,,3,
SW-Dirty Alley,Greenmount West,157,111,102,97,95,73,92
SW-Dirty Alley,Greenspring,119,151,160,52,131,86,93
SW-Dirty Alley,GREENSPRING AVE,,,,,,,1
SW-Dirty Alley,GRINNALDS AVE,,,,,,,1
SW-Dirty Alley,Grove Park,1,12,3,5,4,2,7
SW-Dirty Alley,Guilford,5,5,7,12,5,5,3
SW-Dirty Alley,GUILFORD AVE,,,,,,,1
SW-Dirty Alley,Gwynns Falls,19,34,68,26,25,35,42
SW-Dirty Alley,Gwynns Falls/Leakin Park,3,9,3,2,3,1,
SW-Dirty Alley,Hamilton,,,,,,,35
SW-Dirty Alley,Hamilton Hills,37,50,46,43,37,27,15
SW-Dirty Alley,Hampden,138,155,130,108,72,66,95
SW-Dirty Alley,Hanlon-Longwood,80,125,119,69,60,59,102
SW-Dirty Alley,HARCOURT RD,,,,,,,1
SW-Dirty Alley,HARLEM AVE,,,,,,,1
SW-Dirty Alley,Harlem Park,383,413,332,201,285,212,280
SW-Dirty Alley,HARRIET AVE,,,,,,,1
SW-Dirty Alley,HARTWAIT ST,,,,,,,1
SW-Dirty Alley,Harwood,170,261,177,110,164,113,212
SW-Dirty Alley,Hawkins Point,,,,,,1,1
SW-Dirty Alley,Heritage Crossing,3,2,8,1,,,3
SW-Dirty Alley,Herring Run Park,8,7,3,2,10,3,7
SW-Dirty Alley,Highlandtown,300,276,221,198,190,132,162
SW-Dirty Alley,Hillen,36,53,45,37,33,32,25
SW-Dirty Alley,Hoes Heights,7,5,13,1,1,3,4
SW-Dirty Alley,Holabird Industrial Park,1,,2,1,,1,1
SW-Dirty Alley,Hollins Market,65,88,94,72,69,81,67
SW-Dirty Alley,Homeland,8,9,9,9,12,8,4
SW-Dirty Alley,Hopkins Bayview,8,5,2,2,3,1,2
SW-Dirty Alley,Howard Park,83,101,107,56,54,45,42
SW-Dirty Alley,Hunting Ridge,9,3,6,7,9,10,8
SW-Dirty Alley,Idlewood,30,18,18,16,28,31,36
SW-Dirty Alley,Inner Harbor,2,3,2,4,3,5,3
SW-Dirty Alley,Irvington,172,140,231,152,130,181,153
SW-Dirty Alley,Johns Hopkins Homewood,2,,1,,,,
SW-Dirty Alley,Johnston Square,161,173,107,91,84,75,68
SW-Dirty Alley,Jones Falls Area,1,5,1,,1,,2
SW-Dirty Alley,Jonestown,30,5,2,6,4,5,3
SW-Dirty Alley,Kenilworth Park,6,10,6,9,5,3,3
SW-Dirty Alley,Kernewood,24,18,32,40,37,18,22
SW-Dirty Alley,Keswick,3,5,2,,2,6,8
SW-Dirty Alley,Kresson,97,124,99,58,53,36,44
SW-Dirty Alley,Lake Evesham,,1,1,,1,,1
SW-Dirty Alley,Lake Walker,8,9,8,4,4,1,
SW-Dirty Alley,Lakeland,182,182,137,133,65,88,64
SW-Dirty Alley,LAKEVIEW AVE,,,,,,,1
SW-Dirty Alley,Langston Hughes,42,40,55,52,32,34,106
SW-Dirty Alley,Lauraville,34,27,7,15,12,11,6
SW-Dirty Alley,Levindale,2,,5,5,3,8,15
SW-Dirty Alley,Liberty Square,35,49,24,12,45,34,41
SW-Dirty Alley,Little Italy,8,5,4,4,12,7,14
SW-Dirty Alley,Loch Raven,72,53,60,53,63,72,103
SW-Dirty Alley,Locust Point,27,37,43,15,17,16,13
SW-Dirty Alley,Locust Point Industrial Area,6,,2,,6,3,
SW-Dirty Alley,Lower Edmondson Village,10,20,40,12,11,23,22
SW-Dirty Alley,Lower Herring Run Park,,,2,2,2,,1
SW-Dirty Alley,Lucille Park,31,43,41,28,36,30,27
SW-Dirty Alley,MADISON AVE,,,,,,,1
SW-Dirty Alley,Madison Park,55,30,71,69,80,81,164
SW-Dirty Alley,Madison-Eastend,201,302,194,384,457,231,185
SW-Dirty Alley,Mayfield,8,14,13,5,13,3,8
SW-Dirty Alley,McElderry Park,1002,1089,1397,1073,1362,1069,1194
SW-Dirty Alley,Medfield,23,25,16,13,11,15,12
SW-Dirty Alley,Medford,16,20,15,5,21,23,21
SW-Dirty Alley,Middle Branch/Reedbird Parks,2,,2,,,,
SW-Dirty Alley,Middle East,110,158,123,80,122,83,69
SW-Dirty Alley,Mid-Govans,50,73,39,46,29,26,43
SW-Dirty Alley,Mid-Town Belvedere,37,32,51,46,69,38,29
SW-Dirty Alley,Midtown-Edmondson,286,218,213,109,211,253,326
SW-Dirty Alley,Millhill,201,189,214,140,159,184,201
SW-Dirty Alley,Milton-Montford,248,285,193,235,259,105,80
SW-Dirty Alley,Mondawmin,267,329,351,214,305,245,332
SW-Dirty Alley,Montebello,,1,,,1,1,
SW-Dirty Alley,Moravia-Walther,6,9,2,9,4,4,9
SW-Dirty Alley,Morgan Park,,,,1,,,
SW-Dirty Alley,Morgan State University,2,,,,,,
SW-Dirty Alley,Morrell Park,100,182,272,112,126,102,110
SW-Dirty Alley,MORTON ST,,,,,,,1
SW-Dirty Alley,Mosher,106,113,180,74,117,126,153
SW-Dirty Alley,Mount Clare,,,,,,,105
SW-Dirty Alley,Mount Holly,31,37,41,33,29,22,45
SW-Dirty Alley,Mount Vernon,58,48,51,67,57,56,52
SW-Dirty Alley,Mount Washington,6,4,9,9,2,4,7
SW-Dirty Alley,Mount Winans,28,34,47,23,16,9,14
SW-Dirty Alley,N AMITY ST,,,,,,,1
SW-Dirty Alley,N BELNORD-KENWOOD,,,,,,,1
SW-Dirty Alley,N BOULDIN ST,,,,,,,1
SW-Dirty Alley,N CHAPEL ST,,,,,,,1
SW-Dirty Alley,N CHARLES ST,,,,,,,1
SW-Dirty Alley,N ELLWOOD AVE,,,,,,,1
SW-Dirty Alley,N FULTON AVE,,,,,,,1
SW-Dirty Alley,N HIGHLAND AVE,,,,,,,1
SW-Dirty Alley,N HOWARD ST,,,,,,,1
SW-Dirty Alley,N KENWOOD AVE,,,,,,,2
SW-Dirty Alley,N PULASKI ST,,,,,,,1
SW-Dirty Alley,N STREEPER ST,,,,,,,1
SW-Dirty Alley,N VINCENT ST,,,,,,,1
SW-Dirty Alley,New Northwood,39,34,37,40,36,39,32
SW-Dirty Alley,New Southwest/Mount Clare,250,263,191,130,113,162,126
SW-Dirty Alley,NORFOLK AVE,,,,,,,1
SW-Dirty Alley,North Harford Road,16,20,39,15,21,15,15
SW-Dirty Alley,North Roland Park/Poplar Hill,1,3,4,,,1,1
SW-Dirty Alley,Northwest Community Action,143,171,147,101,107,129,156
SW-Dirty Alley,OAK HILL AVE,,,,,,,1
SW-Dirty Alley,Oakenshawe,19,35,37,23,31,34,31
SW-Dirty Alley,Oaklee,5,3,1,1,3,5,5
SW-Dirty Alley,OAKLEY AVE,,,,,,,1
SW-Dirty Alley,O'Donnell Heights,3,5,4,2,9,5,2
SW-Dirty Alley,Old Goucher,57,34,33,31,37,28,52
SW-Dirty Alley,Oldtown,40,36,28,14,19,18,17
SW-Dirty Alley,OLIVE ST,,,,,,,1
SW-Dirty Alley,Oliver,444,392,272,252,261,224,227
SW-Dirty Alley,Orangeville,5,8,7,2,5,11,4
SW-Dirty Alley,Orangeville Industrial Area,4,1,4,5,6,1,1
SW-Dirty Alley,Orchard Ridge,1,1,2,1,4,10,4
SW-Dirty Alley,Original Northwood,21,26,35,8,18,14,10
SW-Dirty Alley,Otterbein,3,8,10,2,6,4,2
SW-Dirty Alley,Overlea,1,2,2,,1,1,
SW-Dirty Alley,Panway/Braddish Avenue,35,38,43,24,35,20,35
SW-Dirty Alley,Park Circle,201,268,171,121,148,124,220
SW-Dirty Alley,Parklane,44,70,42,32,37,39,56
SW-Dirty Alley,Parkside,21,14,23,13,11,12,9
SW-Dirty Alley,PARKTON ST,,,,,,,1
SW-Dirty Alley,Parkview/Woodbrook,146,154,141,126,190,135,71
SW-Dirty Alley,Parkway,,,,,,,6
SW-Dirty Alley,Patterson Park,,3,,3,4,,
SW-Dirty Alley,Patterson Park Neighborhood,1010,1100,709,665,724,531,557
SW-Dirty Alley,Patterson Place,129,181,200,149,161,165,186
SW-Dirty Alley,Pen Lucy,127,80,72,53,45,36,69
SW-Dirty Alley,Penn North,209,290,283,193,184,177,212
SW-Dirty Alley,Penn-Fallsway,1,,3,1,4,1,1
SW-Dirty Alley,Penrose/Fayette Street Outreach,319,273,218,176,193,231,342
SW-Dirty Alley,Perkins,,,,,,,1
SW-Dirty Alley,Perkins Homes,1,,,1,,2,1
SW-Dirty Alley,Perring Loch,14,9,25,20,25,27,31
SW-Dirty Alley,PIERPONT ST,,,,,,,1
SW-Dirty Alley,Pimlico Good Neighbors,30,35,42,42,25,27,28
SW-Dirty Alley,Pleasant View Gardens,3,1,1,2,4,,1
SW-Dirty Alley,Poppleton,55,47,82,59,47,15,57
SW-Dirty Alley,Pulaski Industrial Area,2,9,6,7,14,2,4
SW-Dirty Alley,Purnell,1,,,,,1,
SW-Dirty Alley,Radnor-Winston,2,1,3,,2,1,4
SW-Dirty Alley,Ramblewood,20,17,24,16,23,17,11
SW-Dirty Alley,Reisterstown Station,25,25,16,12,18,1,5
SW-Dirty Alley,Remington,156,214,155,79,87,65,111
SW-Dirty Alley,Reservoir Hill,236,279,305,194,285,210,223
SW-Dirty Alley,Richnor Springs,18,17,36,12,25,15,15
SW-Dirty Alley,Ridgely's Delight,14,16,22,18,16,11,12
SW-Dirty Alley,Riverside,91,93,88,45,37,48,45
SW-Dirty Alley,Rognel Heights,39,35,28,17,21,20,19
SW-Dirty Alley,ROLAND HEIGHTS AVE,,,,,,,1
SW-Dirty Alley,Roland Park,9,12,19,7,25,23,22
SW-Dirty Alley,Rosebank,9,15,7,12,6,4,6
SW-Dirty Alley,Rosemont,135,181,232,116,153,139,151
SW-Dirty Alley,Rosemont East,6,6,9,12,5,10,15
SW-Dirty Alley,Rosemont Homeowners/Tenants,78,65,46,23,57,42,62
SW-Dirty Alley,S ADDISON ST,,,,,,,1
SW-Dirty Alley,S AUGUSTA AVE,,,,,,,1
SW-Dirty Alley,S BOULDIN-HIGHLAND,,,,,,,1
SW-Dirty Alley,S CATON AVE,,,,,,,1
SW-Dirty Alley,S HANOVER ST,,,,,,,4
SW-Dirty Alley,S HIGHLAND AVE,,,,,,,2
SW-Dirty Alley,S LOUDON AVE,,,,,,,1
SW-Dirty Alley,S MONASTERY AVE,,,,,,,1
SW-Dirty Alley,Sabina-Mattfeldt,,2,,1,1,,1
SW-Dirty Alley,Saint Agnes,15,21,5,3,9,5,18
SW-Dirty Alley,Saint Helena,18,18,19,19,14,23,12
SW-Dirty Alley,Saint Josephs,73,98,129,58,52,69,67
SW-Dirty Alley,SAINT MARGARET ST,,,,,,,1
SW-Dirty Alley,Saint Paul,,5,,6,2,4,
SW-Dirty Alley,SAINT PAUL ST,,,,,,,1
SW-Dirty Alley,Sandtown-Winchester,492,668,485,390,314,244,351
SW-Dirty Alley,Seton Business Park,,1,,,,,
SW-Dirty Alley,Seton Hill,17,2,4,6,5,6,9
SW-Dirty Alley,Sharp-Leadenhall,13,13,5,7,2,7,1
SW-Dirty Alley,SHERIDAN AVE,,,,,,,1
SW-Dirty Alley,Shipley Hill,233,203,165,97,117,128,140
SW-Dirty Alley,South Baltimore,81,68,75,58,46,48,44
SW-Dirty Alley,South Clifton Park,87,100,61,84,62,95,56
SW-Dirty Alley,Spring Garden Industrial Area,1,,1,,,,
SW-Dirty Alley,Stadium Area,1,,,,1,,
SW-Dirty Alley,STEELTON AVE,,,,,,,1
SW-Dirty Alley,Stonewood-Pentwood-Winston,10,8,10,4,8,12,6
SW-Dirty Alley,Taylor Heights,,1,,,,,
SW-Dirty Alley,Ten Hills,1,2,3,,1,1,1
SW-Dirty Alley,The Orchards,,1,,,,,
SW-Dirty Alley,THELMA LN,,,,,,,1
SW-Dirty Alley,Towanda-Grantley,71,52,58,33,52,22,49
SW-Dirty Alley,Tremont,12,15,7,8,19,20,32
SW-Dirty Alley,Tuscany-Canterbury,,2,3,,2,,1
SW-Dirty Alley,Union Square,69,56,61,47,55,43,65
SW-Dirty Alley,University Of Maryland,3,2,12,4,1,3,3
SW-Dirty Alley,Uplands,21,11,19,15,10,4,20
SW-Dirty Alley,Upper Fells Point,93,46,62,30,27,17,16
SW-Dirty Alley,Upton,207,198,221,129,194,229,309
SW-Dirty Alley,Violetville,15,41,31,19,28,25,19
SW-Dirty Alley,W 26TH ST,,,,,,,1
SW-Dirty Alley,W BALTIMORE ST,,,,,,,1
SW-Dirty Alley,W NORTH AVE,,,,,,,1
SW-Dirty Alley,W PRATT ST,,,,,,,1
SW-Dirty Alley,Walbrook,168,149,209,110,156,113,222
SW-Dirty Alley,Waltherson,58,66,62,55,64,54,56
SW-Dirty Alley,Washington Hill,67,61,43,51,54,45,55
SW-Dirty Alley,Washington Village/Pigtown,653,655,696,405,421,387,601
SW-Dirty Alley,Waverly,150,191,182,104,90,86,137
SW-Dirty Alley,West Arlington,99,107,85,46,106,74,113
SW-Dirty Alley,WEST BAY AVE,,,,,,,1
SW-Dirty Alley,West Forest Park,38,45,42,36,81,38,52
SW-Dirty Alley,West Hills,16,16,21,15,12,14,8
SW-Dirty Alley,Westfield,15,10,10,13,12,5,5
SW-Dirty Alley,Westgate,7,15,17,7,10,10,7
SW-Dirty Alley,Westport,102,139,104,58,51,99,92
SW-Dirty Alley,Wilhelm Park,18,10,21,10,14,22,16
SW-Dirty Alley,WILKENS AVE,,,,,,,1
SW-Dirty Alley,Wilson Park,36,37,25,23,34,23,23
SW-Dirty Alley,Winchester,75,107,147,61,117,137,129
SW-Dirty Alley,Windsor Hills,8,5,25,12,20,12,10
SW-Dirty Alley,WINSTON AVE,,,,,,,1
SW-Dirty Alley,Winston-Govans,104,89,82,60,47,34,39
SW-Dirty Alley,Woodberry,20,10,9,5,10,12,9
SW-Dirty Alley,Woodbourne Heights,9,20,25,26,16,14,12
SW-Dirty Alley,Woodbourne-McCabe,62,66,60,42,41,31,36
SW-Dirty Alley,Woodmere,64,75,85,56,64,47,100
SW-Dirty Alley,Wrenlane,19,23,16,18,19,14,8
SW-Dirty Alley,Wyman Park,12,8,14,20,20,,6
SW-Dirty Alley,Wyndhurst,2,3,5,2,1,,
SW-Dirty Alley,Yale Heights,23,52,42,27,29,26,29
SW-Dirty Alley,York-Homeland,1,1,,3,2,1,
Grand Total,,49780,56092,50118,36286,42262,38916,43716
